lichess_id,ply,result,crisc_player
xgvyzNlP,57,0-1,White
Y3CeFLMB,94,1-0,Black
2Le8c2fZ,50,0-1,Black
2Le8c2fZ,52,0-1,Black
TDzaSD5X,82,0-1,Black
Aix8FXGz,106,0-1,Black
Tdayxgfk,58,0-1,Black
Tdayxgfk,66,0-1,Black
XEpIxCYy,51,0-1,White
BmzsutUj,64,1-0,Black
GnN5ENrc,42,1-0,Black
uihpaw8e,91,1-0,White
h2Imb3Vp,49,1-0,White
2RAaDrtT,71,0-1,White
3YpaAFYe,73,1-0,White
q03UyzvF,53,0-1,White
T4A1j4Bu,82,0-1,Black
pesiIiWa,108,1-0,Black
pesiIiWa,130,1-0,Black
pesiIiWa,132,1-0,Black
7OerGOzM,103,0-1,White
bDDmUVVe,52,0-1,Black
EsVSuca9,74,0-1,Black
Zyj1H0Gl,86,1-0,Black
ReY8Vipx,73,0-1,White
JB0SRxat,69,1-0,White
SYXarw9D,89,0-1,White
UuAaePvp,70,1-0,Black
KrzB97RJ,53,1-0,White
5f69BpEn,54,0-1,Black
Zp2aimMb,56,1-0,Black
JMGQPnFH,60,1-0,Black
M323QTw0,86,0-1,Black
3vmsZtZY,54,1-0,Black
Gve3cbsT,85,0-1,White
OwvpnpSq,68,1-0,Black
f7MvVS37,59,0-1,White
N8Bjez6p,56,1-0,Black
TkyCVe21,59,0-1,White
L7D9Geox,40,1-0,Black
kT1OIJDF,71,1-0,White
L4AVpee0,68,0-1,Black
sDOBU679,120,1-0,Black
S6O8foct,45,1-0,White
Z33n79FG,47,0-1,White
P8dYAWNL,59,1-0,White
F4qZ0uTR,103,1-0,White
P93iN3xt,106,1-0,Black
KoHaxHHn,62,0-1,Black
OqDbutAZ,71,1-0,White
qBGSRhmM,75,0-1,White
funv4OMX,58,1-0,Black
0pXkCClL,74,1/2-1/2,Black
nvl6OLCZ,43,0-1,White
5A6bLLxK,104,0-1,Black
B0Fa0sST,57,1-0,White
TC6BySxw,114,1-0,Black
xZaL0ldY,100,0-1,Black
tMx2MUe9,113,0-1,White
RzH9qE5E,41,1-0,White
o9fKToNN,71,0-1,White
I3uFBZNc,46,1-0,Black
8FmPDuAy,110,1/2-1/2,Black
iQmHka6x,65,1-0,White
oXvYB4iu,74,1-0,Black
X5viBLxw,47,1-0,White
AYQpkmMS,79,1-0,White
SzsVLpkF,62,1-0,Black
CJsIDOJd,85,1-0,White
5AQSd1Eg,60,0-1,Black
33syZX5h,79,1-0,White
dQZD5NGy,64,1-0,Black
EwWi6RGn,64,1-0,Black
4RMSwIZv,107,1-0,White
krKZulAM,108,0-1,Black
29wOCg1U,64,0-1,Black
CHzUmCFJ,58,0-1,Black
x4FHs7BO,41,1-0,White
ZCzBZ2nD,92,1-0,Black
AcYUKNJa,55,0-1,White
N4LQrGTD,57,1-0,White
V7FO4cmL,47,1-0,White
LPHG8GqR,116,0-1,Black
CSRzK1O5,90,0-1,Black
r3jNeTVq,59,1-0,White
bnIfs2us,87,1-0,White
WrIpvlM3,101,1-0,White
szdCVTOO,81,1-0,White
6usfA4NS,92,1-0,Black
htOnM8FL,112,1-0,Black
UlKWGr5T,62,0-1,Black
FMg3s7u6,105,0-1,White
A05VHam2,86,0-1,Black
ExfZiwbV,104,0-1,Black
HJqjLSe3,44,0-1,Black
4rLKaO3G,94,0-1,Black
RXjFDNJ6,74,0-1,Black
RVHY2rI3,69,1-0,White
iMe5yy2o,83,1/2-1/2,White
IQ2Qr10w,101,1/2-1/2,White
VM6gduBG,54,0-1,Black
Z4phaDSx,106,1-0,Black
ZtKFwLYF,74,0-1,Black
MmecT78l,63,1-0,White
MmecT78l,65,1-0,White
WKZRCOYI,73,1-0,White
FkKutsew,85,1-0,White
