lichess_id,ply,result,player,time_scramble_bracket,player_elo
dO1Uo5I3,99,0-1,White,<=5s vs 5-10s,2329
YRT53iTv,72,0-1,Black,<=5s vs 10-15s,1634
dJgiD952,65,1-0,White,<=5s vs 5-10s,2226
FXQKtcsx,108,0-1,Black,<=5s vs 10-15s,2328
hmiI3XVZ,79,1-0,White,<=5s vs 15-20s,2440
Wyo2lcBW,150,0-1,Black,<=5s vs 15-20s,1550
nYhmkPdW,54,0-1,Black,<=5s vs 15-20s,2107
W20e3kSn,69,1-0,White,<=5s vs 10-15s,1878
w2rx3lQQ,89,1-0,White,<=5s vs 10-15s,2452
dV0kZwL9,38,1-0,Black,<=5s vs 5-10s,1459
g1z3vYlC,48,0-1,Black,<=5s vs 15-20s,1213
rB9uCcOw,54,0-1,Black,<=5s vs 10-15s,1024
EoR8o5up,79,1-0,White,<=5s vs 5-10s,1697
fB7M6ps1,67,1-0,White,<=5s vs 5-10s,1852
YE4BYY5h,96,1/2-1/2,Black,<=5s vs 15-20s,2000
BQswMLNq,113,1-0,White,<=5s vs 5-10s,2015
5iBn3Jnz,57,1-0,White,<=5s vs 10-15s,1354
7mtwg7xL,63,0-1,White,<=5s vs 5-10s,2493
gcWRcY6E,78,0-1,Black,<=5s vs 15-20s,1589
zTnvkFmL,110,1/2-1/2,Black,<=5s vs <=5s,2587
EAbABn9M,68,0-1,Black,<=5s vs 10-15s,1848
XsbSch8f,52,0-1,Black,<=5s vs 10-15s,1932
AR64sOBZ,63,1-0,White,<=5s vs 5-10s,2046
xSrksofX,89,1-0,White,<=5s vs 5-10s,2315
18x7mC3W,64,1-0,Black,<=5s vs 5-10s,1238
cAPw8tCs,68,0-1,Black,<=5s vs 5-10s,1258
7xBL4aMW,97,1-0,White,<=5s vs 15-20s,2209
4W46WldL,65,1-0,White,<=5s vs 10-15s,1568
DH0lWkww,46,1-0,Black,<=5s vs <=5s,1220
EbV5XSxQ,50,0-1,Black,<=5s vs 5-10s,1666
dY9NIWMW,75,1-0,White,<=5s vs 5-10s,1700
Q1kpkNof,55,1-0,White,<=5s vs 15-20s,1859
7GeAByW3,75,1-0,White,<=5s vs 10-15s,2304
k4v4vQwq,91,1-0,White,<=5s vs 10-15s,2007
KrrCk3Wd,71,1-0,White,<=5s vs 5-10s,1957
KjET4zA0,56,0-1,Black,<=5s vs 5-10s,1202
